Property Melting Point,Property Density,Property Boiling Point,Property Solubility,Property Molar Mass,Name,formula
160,1.18,,,,Poly(methyl methacrylate),(C$_{5}$O$_{2}$H$_{8}$)$_{n}$
36,1.3,,Insoluble,,EPN (insecticide),C$_{14}$H$_{14}$NO$_{4}$PS
90,,,,234.09,Titanocene dicarbonyl,C$_{12}$H$_{10}$O$_{2}$Ti
75,0.939,120,insoluble,,Ambroxan,C$_{16}$H$_{28}$O
,,,,409.39,Queuosine,C$_{17}$H$_{23}$N$_{5}$O$_{7}$
,,,,775.633,White lead,2PbCO$_{3}$.Pb(OH)$_{2}$
,,,,,Turosteride,C$_{27}$H$_{45}$N$_{3}$O$_{3}$
180,2.61,,insoluble,,Iron(II) phosphate,Fe$_{3}$O$_{8}$P$_{2}$
,,,,,SB-334 867,
,,,,277.402,ICI-118 551,C$_{17}$H$_{27}$NO$_{2}$
,,,,,Motavizumab,C$_{6476}$H$_{10014}$N$_{1706}$O$_{2008}$S$_{48}$
,,,,289.904,Astatine monobromide,AtBr
,,,,,Chlorphenoxamine,C$_{18}$H$_{22}$ClNO
,,,,,Tegafur,C$_{8}$H$_{9}$FN$_{2}$O$_{3}$
160,1.3459,400,,60.059,Ammonium azide,"NH$_{4}$N$_{3}$,NH$_{3}$.HN$_{3}$"
200,,,2650,337.86,Fuchsine,C$_{20}$H$_{20}$N$_{3}$.HCl
,,,,,Levamlodipine,C$_{20}$H$_{25}$ClN$_{2}$O$_{5}$
172,,287,5.9,,Hydroquinone,C$_{6}$H$_{6}$O$_{2}$
,,,,253.4665,Solenopsin,C$_{17}$H$_{35}$N
,,,,427.2,Adenosine 3' 5'-bisphosphate,C$_{10}$H$_{15}$N$_{5}$O$_{10}$P$_{2}$
,,,,,Methoxamine,C$_{11}$H$_{17}$NO$_{3}$
,,,,,Posizolid,C$_{21}$H$_{21}$F$_{2}$N$_{3}$O$_{7}$
,,,negligible solubility in water,,Tryptamine,C$_{10}$H$_{12}$N$_{2}$
,,,,,Lucatumumab,C$_{24}$H$_{31}$NO
,,,,,Moracizine,C$_{22}$H$_{25}$N$_{3}$O$_{4}$S
,,,,,Dimetacrine,C$_{20}$H$_{26}$N$_{2}$
,,,,,Axitinib,C$_{22}$H$_{18}$N$_{4}$OS
208,,,,,BDPC,C$_{22}$H$_{28}$BrNO
,,,,,Benperidol,C$_{22}$H$_{24}$FN$_{3}$O$_{2}$
,,,,,EMDT,C$_{15}$H$_{22}$N$_{2}$O
,,,,336.33,Alpinumisoflavone,C$_{20}$H$_{16}$O$_{5}$
,,,,,Dirucotide,C$_{92}$H$_{141}$N$_{25}$O$_{26}$
,,,,,CJ-033466,C$_{19}$H$_{28}$ClN$_{5}$O
12,0.996,124,soluble 10,,Paraldehyde,C$_{6}$H$_{12}$O$_{3}$
-39,1.1,179,very slightly soluble (0.05% at 20$^{\circ}$C),126.58,Benzyl chloride,C$_{7}$H$_{7}$Cl
,,,,,Octodrine,C$_{8}$H$_{19}$N
,,,>40,,Chloric acid,HClO$_{3}$
-136,,-34,,,Propadiene,C$_{3}$H$_{4}$
,,,,,Dehydrocholic acid,C$_{24}$H$_{34}$O$_{5}$
231,2.04,323-326,,284.8,Hexachlorobenzene,C$_{6}$Cl$_{6}$
,,,,,Chloroquine,C$_{18}$H$_{26}$ClN$_{3}$
,,,,,Sodium dithiophosphate,Na$_{3}$PS$_{2}$O$_{2}$
24,,259,0.004,,Dodecanol,C$_{12}$H$_{26}$O
,,418,,191.14,Carboxyglutamic acid,C$_{6}$H$_{9}$NO$_{6}$
,,,,,SB-204741,C$_{14}$H$_{14}$N$_{4}$OS
,,,,,BD1018,C$_{15}$H$_{20}$N$_{2}$Cl$_{2}$
,,,,,Cytidine,C$_{9}$H$_{13}$N$_{3}$O$_{5}$
,,,,,Premazepam,C$_{15}$H$_{15}$N$_{3}$O
150-155,,,,,IMes,C$_{21}$H$_{24}$N$_{2}$
,,,,,BMY-14802,C$_{18}$H$_{22}$F$_{2}$N$_{4}$O
,,,,,Neosaxitoxin,C$_{10}$H$_{17}$N$_{7}$O$_{5}$
,,,,,Evodiamine,C$_{19}$H$_{17}$N$_{3}$O
,,,,,Pruvanserin,C$_{22}$H$_{21}$FN$_{4}$O
888,9.53,1477,0.017,223.2,Lead(II) oxide,PbO
,,,,,Proxyphylline,C$_{10}$H$_{14}$N$_{4}$O$_{3}$
,,,,,Terlipressin,C$_{52}$H$_{74}$N$_{16}$O$_{15}$S$_{2}$
230,,,,,D-chiro-Inositol,C$_{6}$H$_{12}$O$_{6}$
18,1.32,266,,,Triformin,C$_{6}$H$_{8}$O$_{6}$
,,,,,Moxonidine,C$_{9}$H$_{12}$ClN$_{5}$O
,,,,204.616,Carbonyl cyanide m-chlorophenyl hydrazone,C$_{9}$H$_{5}$ClN$_{4}$
,,,,,Bevacizumab,C$_{6638}$H$_{10160}$N$_{1720}$O$_{2108}$S$_{44}$
,,,,,Solanezumab,C$_{6396}$H$_{9922}$N$_{1712}$O$_{1996}$S$_{42}$
,,-269,,,Helium atom,He
,,,,,Xipranolol,C$_{23}$H$_{33}$NO$_{2}$
-16,,145-146,,,Cyclooctene,C$_{8}$H$_{14}$
,,,,,Bitopertin,C$_{21}$H$_{20}$F$_{7}$N$_{3}$O$_{4}$S
,,,,,Bekanamycin,C$_{18}$H$_{37}$N$_{5}$O$_{10}$
27.5,,,Miscible,,Putrescine,C$_{4}$H$_{12}$N$_{2}$
,,,,,Ecopipam,C$_{19}$H$_{20}$ClNO
,,,,,Protiofate,C$_{12}$H$_{16}$O$_{6}$S
,,,,,Carfecillin,C$_{23}$H$_{22}$N$_{2}$O$_{6}$S
,1.482,338.4,,,Ninhydrin,C$_{9}$H$_{4}$O$_{3}$
,,,,,Pentethylcyclanone,C$_{16}$H$_{25}$NO$_{2}$
,,,,,Temocapril,C$_{23}$H$_{28}$N$_{2}$O$_{5}$S$_{2}$
,,,,,Bumetanide,C$_{17}$H$_{20}$N$_{2}$O$_{5}$S
,,,,,Dinapsoline,C$_{16}$H$_{15}$NO$_{2}$
,,,,,Falcarindiol,C$_{17}$H$_{24}$O$_{2}$
,,,,,Auranofin,C20H35AuO9PS1charge+
,,,,,Butabarbital,C$_{10}$H$_{16}$N$_{2}$O$_{3}$
,,,,,Chlorozotocin,C$_{9}$H$_{16}$ClN$_{3}$O$_{7}$
,,,,,Alpidem,C$_{21}$H$_{23}$Cl$_{2}$N$_{3}$O
116,1.25,,Soluble,,Hexazinone,C$_{12}$H$_{20}$N$_{4}$O$_{2}$
223,,,Insoluble,,Cresolphthalein,C$_{15}$H$_{12}$N$_{2}$O$_{3}$
,,,,,Idelalisib,C$_{22}$H$_{18}$FN$_{7}$O
,,,,,Methantheline,C$_{21}$H$_{26}$NO$_{3}$
280,3.25,,Anhydrous:,325.29,Lead(II) acetate,Pb(C$_{2}$H$_{3}$O$_{2}$)$_{2}$
,0.957,150,,,Benzocyclobutene,C$_{8}$H$_{8}$
,1.163,,,222.24,Dillapiole,C$_{12}$H$_{14}$O$_{4}$
,,,,,Thiofentanyl,C$_{20}$H$_{26}$N$_{2}$OS
,,,,,Gadoxetic acid,
783,,1577,Not Published Yet (very soluble in water),378.62,Lanthanum(III) bromide,LaBr$_{3}$
,,,,,Homochlorcyclizine,C$_{19}$H$_{23}$ClN$_{2}$
,,,,,Ixabepilone,C$_{27}$H$_{42}$N$_{2}$O$_{5}$S
582,3.618,,0.17,,Potassium periodate,KIO$_{4}$
,,,,,Oxandrolone,C$_{19}$H$_{30}$O$_{3}$
,0.978,235.5,Insoluble,,Cuminaldehyde,C$_{10}$H$_{12}$O
,1.3,,,37.9034,Lithium carbide,Li$_{2}$C$_{2}$
200-201,,,,408.57,Cholic acid,C$_{24}$H$_{40}$O$_{5}$
,,,,300.434,Ethyldienolone,C$_{20}$H$_{28}$O$_{2}$
,3,,very soluble,128.97,Selenous acid,H$_{2}$SeO$_{3}$
,,,,,O-1238,C$_{22}$H$_{29}$N$_{3}$O$_{2}$
200,,,soluble,100,Sodium fluoroacetate,NaFC$_{2}$H$_{2}$O$_{2}$
,,,,,LY-367 265,
,,,,318.02,Dichlorodiphenyldichloroethylene,C$_{14}$H$_{8}$Cl$_{4}$
,,,,,Erythromycin,C$_{37}$H$_{67}$NO$_{13}$
,,,,,TC-1698,C$_{13}$H$_{18}$N$_{2}$
-0.1,0.894,,,,Palmitoleic acid,C$_{16}$H$_{30}$O$_{2}$
116,1.26,180,102,,Ammonium formate,NH$_{5}$CO$_{2}$
,,,,,ZINC database,
73-76,,,,,Lactamide,C$_{3}$H$_{7}$NO$_{2}$
,,,,,Gadoversetamide,C$_{20}$H$_{34}$GdN$_{5}$O$_{10}$
,,,,,Housane,C$_{5}$H$_{8}$
,,,,430.15,Uranium sulfate,U(SO$_{4}$)$_{2}$
3.3,1.01,40,,168.23,Ascaridole,C$_{10}$H$_{16}$O$_{2}$
1655,3.19,,insoluble,48.604,Aluminium diboride,AlB$_{2}$
-84,1.032,21,,,Acetyl fluoride,C$_{2}$H$_{3}$FO
,,102-103,,96.17,Methylenecyclohexane,C$_{7}$H$_{12}$
,,,,,Clofenciclan,C$_{18}$H$_{28}$ClNO
1610,3.99,,0.0047,87.003,Manganese(II) sulfide,MnS
,,,,,Fluoronium,H$_{2}$F$^{+}$
,1.1,,,,Bismuth subgallate,
-8.5,0.993,,,,Dialin,C$_{10}$H$_{10}$
,,,,,Trioxifene,C$_{30}$H$_{31}$NO$_{3}$
775,,,,298.54,Rubidium telluride,Rb$_{2}$Te
,1.227,308,,,Acetylcysteinamide,C$_{23}$H$_{31}$ClN$_{4}$O$_{3}$S
,,,,450.39,Astilbin,C$_{21}$H$_{22}$O$_{11}$
,,,,,Tris(acetonitrile)cyclopentadienylruthenium hexafluorophosphate,C$_{11}$H$_{14}$N$_{3}$RuPF$_{6}$
,,,,1336.45813,Plantazolicin,C$_{63}$H$_{69}$N$_{17}$O$_{13}$S$_{2}$
,,,,,Floxuridine,C$_{9}$H$_{11}$FN$_{2}$O$_{5}$
474,2.92,,negligible,89.563,Copper(I) cyanide,CuCN
,,,,,Pridefine,C$_{19}$H$_{21}$N
,,,,,Hydroxylysine,C$_{6}$H$_{14}$N$_{2}$O$_{3}$
240,4.61,,,,Quinaldine red,C$_{21}$H$_{23}$IN$_{2}$
136,3.07,,50.1,229.64,Telluric acid,H$_{6}$O$_{6}$Te
94-95,,,900,,Mecoprop,C$_{10}$H$_{11}$ClO$_{3}$
,,,,3157.26,Big gastrin,C$_{132}$H$_{194}$N$_{40}$O$_{49}$S
60,2.431,,highly soluble,409.81,Chloroplatinic acid,H$_{2}$PtCl$_{6}$
-183.6,,-127.8,0.005%$_{V}$ at 20,88.0043,Tetrafluoromethane,CF$_{4}$
,1.1$\pm$0.1,,,,Pracinostat,C$_{20}$H$_{30}$N$_{4}$O$_{2}$
-80,,86.3,10.71,,Tert-Amyl methyl ether,C$_{6}$H$_{14}$O
,,,,219.28112,Benzylisoquinoline,C$_{16}$H$_{13}$N
,1.479,71-72,,157.07,Benzeneselenol,C$_{6}$H$_{6}$Se
,,,,,Atazanavir,C$_{38}$H$_{52}$N$_{6}$O$_{7}$
,,,,,Amino radical,NH$^{.}_{2}$
-10,,239,0.0002% (Reacts 25$^{\circ}$C),,Hexachlorocyclopentadiene,C$_{5}$Cl$_{6}$
,,171,,,Cyclopentamine,C$_{9}$H$_{19}$N
,,,,,Mirabegron,C$_{21}$H$_{24}$N$_{4}$O$_{2}$S
316,3.43,732,insoluble,181.403,Zinc chromate,ZnCrO$_{4}$
,,,,,CGS-15943,C$_{13}$H$_{8}$ClN$_{5}$O
140,,,,,Sodium lauroyl sarcosinate,C$_{15}$H$_{28}$NNaO$_{3}$
,,,,721.84,KN-62,C$_{38}$H$_{35}$N$_{5}$O$_{6}$S$_{2}$
,,,,,Losindole,C$_{19}$H$_{20}$ClN
,,,yes,120.04,Moniliformin,C$_{4}$HNaO$_{3}$
,,,,,Dibenzepin,C$_{18}$H$_{21}$N$_{3}$O
,,,,,GW-842 166X,
271,2.168,,71.4,68.9953,Sodium nitrite,NaNO$_{2}$
2183,6.9,3760,,329.813,Praseodymium(III) oxide,Pr$_{2}$O$_{3}$
,,,,,Polydioctylfluorene,(C$_{29}$H$_{42}$)$_{n}$
145,,,slowly soluble,336.36122,Berberine,C$_{20}$H$_{18}$NO$_{4}$+
,,,,,TG101348,C$_{27}$H$_{36}$N$_{6}$O$_{3}$S
,,,,,Dornase alfa,
,,403,Yes,,Donovan's solution,AsHgI$_{4}$
,,,,,Histamine dihydrochloride,
,,,,114.06,Squaric acid,C$_{4}$H$_{2}$O$_{4}$
1185,5.06,,insoluble,160.07,Molybdenum disulfide,MoS$_{2}$
,,,,,Phosphoenolpyruvic acid,C$_{3}$H$_{5}$O$_{6}$P
,,,,,Naphthol Red,C$_{26}$H$_{22}$N$_{4}$O$_{4}$
,,,,,Fipexide,C$_{20}$H$_{21}$ClN$_{2}$O$_{4}$
,,,,,Oxotremorine,C$_{12}$H$_{18}$N$_{2}$O
,,54,,,Disulfur dibromide,Br$_{2}$S$_{2}$
,,,,,Guanfacine,C$_{9}$H$_{9}$Cl$_{2}$N$_{3}$O
,,,,,Tetrahydrocannabinol-C4,C$_{20}$H$_{28}$O$_{2}$
,,,,242.23,Molsidomine,C$_{9}$H$_{14}$N$_{4}$O$_{4}$
-37,,162,83,,Furfural,C$_{5}$H$_{4}$O$_{2}$
,,226,,,Carveol,C$_{10}$H$_{16}$O
,,,,334.36,Karanjachromene,C$_{21}$H$_{18}$O$_{4}$
,,,,,Epinastine,C$_{16}$H$_{15}$N$_{3}$
,,,,450.288,Lead styphnate,C$_{6}$HN$_{3}$O$_{8}$Pb
,,,,594.56,Poncirin,C$_{28}$H$_{34}$O$_{14}$
,,,soluble,158.26,Potassium sulfite,K$_{2}$S}$O$_{3
129-130,,,Insoluble,534.55,Triphos,C$_{34}$H$_{29}$P$_{3}$
,,,Insoluble,210.1,Diazodinitrophenol,C$_{6}$H$_{2}$N$_{4}$O$_{5}$
,,,,,Tenofovir alafenamide fumarate,
,,,,,AZD0328,C$_{13}$H$_{16}$N$_{2}$O
,,,,,Veliparib,C$_{13}$H$_{16}$N$_{4}$O
,,,,,Phenobarbital,C$_{12}$H$_{12}$N$_{2}$O$_{3}$
,,,Soluble,902.97,Amaninamide,C$_{39}$H$_{54}$N$_{10}$O$_{13}$S
,,,,,Beryllium azide,BeN$_{6}$
,,,,,Homatropine,C$_{16}$H$_{21}$NO$_{3}$
-146,,-52,,,Stannane,SnH$_{4}$
90,,,,,Cyclohexylthiophthalimide,C$_{14}$H$_{15}$O$_{2}$NS
-63,,67,Miscible,,Propyleneimine,C$_{3}$H$_{7}$N
-29,,100-103,ca. 10,61.04,Nitromethane,CH$_{3}$NO$_{2}$
,,,,524.17,Xanthosine triphosphate,C$_{10}$H$_{15}$N$_{4}$O$_{15}$P$_{3}$
149,,,0.2,,Tetraacetylethylenediamine,C$_{10}$H$_{16}$N$_{2}$O$_{4}$
-68.05,1.1978,170,,126.26,Dimethyl trisulfide,C$_{2}$H$_{6}$S$_{3}$
,,,,,Paritaprevir,C$_{40}$H$_{43}$N$_{7}$O$_{7}$S
,,,,568.52,Mulberroside A,C$_{26}$H$_{32}$O$_{14}$
136,,,185,,Thiacloprid,C$_{10}$H$_{9}$ClN$_{4}$S
,,,,,Metyrapone,C$_{14}$H$_{14}$N$_{2}$O
,,,,258.27,Rhapontigenin,C$_{15}$H$_{14}$O$_{4}$
,,,,,Mexazolam,C$_{18}$H$_{16}$Cl$_{2}$N$_{2}$O$_{2}$
,,,,424.399,Apterin,C$_{20}$H$_{24}$O$_{10}$
179,1.24,495,0.2-6.2,,Benzo(a)pyrene,C$_{20}$H$_{12}$
,,,,1084.68,Punicacortein D,C$_{48}$H$_{28}$O$_{30}$
,,,,,Iditol,C$_{6}$H$_{14}$O$_{6}$
177-179,1.494,,,,BAPTA,C$_{22}$H$_{24}$N$_{2}$O$_{10}$
,,270.5,practically insoluble,,A-Vetivone,C$_{15}$H$_{22}$O
,,,,,Demoxytocin,C$_{43}$H$_{65}$N$_{11}$O$_{12}$S$_{2}$
,,,,,Mepartricin,C$_{60}$H$_{88}$N$_{2}$O$_{19}$
,,,,300.4,Prallethrin,C$_{19}$H$_{24}$O$_{3}$
187,1.04,,,507.18,Adenosine triphosphate,C$_{10}$H$_{16}$N$_{5}$O$_{13}$P$_{3}$
,,,,,Ropinirole,C$_{16}$H$_{24}$N$_{2}$O
,,,,,Secnidazole,C$_{7}$H$_{11}$N$_{3}$O$_{3}$
,,,,310.351,Nemertelline,C$_{20}$H$_{14}$N$_{4}$
,,,,,Panuramine,C$_{24}$H$_{25}$N$_{3}$O$_{2}$
,,,,,Alitretinoin,C$_{20}$H$_{28}$O$_{2}$
,,,,,Croconazole,C$_{18}$H$_{15}$ClN$_{2}$O
,,,,345.32,Capensinidin,C$_{18}$H$_{17}$O$^{+}_{7}$(Cl$^{-}$)
587,5.315,827,soluble,309.65,Iron(II) iodide,FeI$_{2}$
,,,,513.586,DAMGO,C$_{26}$H$_{35}$N$_{5}$O$_{6}$
,,,,,N-Methyl-3-piperidyl benzilate,
,,,,,Ouabain,C$_{29}$H$_{44}$O$_{12}$
127-130,1.341,288,13,,Benzamide,C$_{7}$H$_{7}$NO
,,,Reacts,,Octyl cyanoacrylate,C$_{12}$H$_{19}$NO$_{2}$
,,,,,Vinyl ether,
,,,,,Dexchlorpheniramine,C$_{16}$H$_{19}$ClN$_{2}$
100,,,38.1,124.12,Calcium azide,CaN$_{6}$
,,,,,Titanocene pentasulfide,C$_{10}$H$_{10}$S$_{5}$Ti
,,,,148.025,Disodium malonate,C$_{3}$H$_{2}$O$_{4}$Na$_{2}$
,,,,187.15,Hydroxymetronidazole,C$_{6}$H$_{9}$N$_{3}$O$_{4}$
,,-36,,,Cyclopropene,C$_{3}$H$_{4}$
-20,0.884,225,,,Aliquat 336,C$_{25}$H$_{54}$ClN
,,,,,Bioallethrin,C$_{19}$H$_{26}$O$_{3}$
,,,,,Dehydroepiandrosterone,C$_{19}$H$_{28}$O$_{2}$
,,,,,Mitobronitol,C$_{6}$H$_{12}$Br$_{2}$O$_{4}$
,,,,,JWH-210,C$_{26}$H$_{27}$NO
,,,,,Tioclomarol,C$_{22}$H$_{16}$Cl$_{2}$O$_{4}$S
,,,,913.67,Coumaroyl-CoA,C$_{30}$H$_{42}$N$_{7}$O$_{18}$P$_{3}$S
,,,,94.11,Oxepin,C$_{6}$H$_{6}$O
,,,,,Ganciclovir,C$_{9}$H$_{13}$N$_{5}$O$_{4}$
,,,,,Glyceraldehyde 3-phosphate,C$_{3}$H$_{7}$O$_{6}$P
,,,,472.743,Tocopheryl acetate,C$_{31}$H$_{52}$O$_{3}$
112-115,,,,,N O-Dimethylhydroxylamine,C$_{2}$H$_{7}$NO
,,,,,Revaprazan,C$_{22}$H$_{23}$FN$_{4}$
281,,,,,Phalloidin,C$_{35}$H$_{48}$N$_{8}$O$_{11}$S
,,,,,Diclofenamide,C$_{6}$H$_{6}$Cl$_{2}$N$_{2}$O$_{4}$S$_{2}$
610,4.072,,2605,325.82,Caesium carbonate,Cs$_{2}$CO$_{3}$
,,,,,Ceritinib,C$_{28}$H$_{36}$ClN$_{5}$O$_{3}$S
,,,,,Lecozotan,C$_{28}$H$_{30}$ClN$_{5}$O$_{3}$
,,,,,Biperiden,C$_{21}$H$_{29}$NO
-85,2.7741,127,insoluble,228.83,Selenium monochloride,Se$_{2}$Cl$_{2}$
,1.48,,,28.897,Lithium imide,Li$_{2}$NH
,,,,,PSI-6130,C$_{10}$H$_{14}$FN$_{3}$O$_{4}$
195,,,200,,Xylenol orange,C$_{31}$H$_{32}$N$_{2}$O$_{13}$S
162,,,Slightly sol.,,Juglone,C$_{10}$H$_{6}$O$_{3}$
,,,,,Minaprine,C$_{17}$H$_{22}$N$_{4}$O
,,,,,JDTic,C$_{28}$H$_{39}$N$_{3}$O$_{3}$
,,,,,Smoothened agonist,
,,,,,Quinazoline,C$_{8}$H$_{6}$N$_{2}$
,,,,,Farinamycin,C$_{21}$H$_{19}$N$_{5}$O$_{7}$
,,,,,Astromicin,C$_{17}$H$_{35}$N$_{5}$O$_{6}$
,,,,,Para-Methoxy-N-methylamphetamine,C$_{11}$H$_{17}$NO
,,,,,Naluzotan,C$_{23}$H$_{38}$N$_{4}$O$_{3}$S
,,,insoluble,128.09,Ammelide,C$_{3}$H$_{4}$N$_{4}$O$_{2}$
44,,,,,Jacaric acid,C$_{18}$H$_{30}$O$_{2}$
,,,,,Triphosphane,P$_{3}$H$_{5}$
,,,,,Methylazoxymethanol acetate,C$_{4}$H$_{8}$N$_{2}$O$_{3}$
,,,,,Ammonium,NH$^{+}_{4}$
14,1.015,161,9% (25$^{\circ}$C),86.06,Methacrylic acid,C$_{4}$H$_{6}$O$_{2}$
,,,,,Methyldopa,C$_{10}$H$_{13}$NO$_{4}$
277,,,,,Ethanolamine-O-sulfate,C$_{2}$H$_{7}$NO$_{4}$S
170-172,,,,,Disperse Red 9,C$_{15}$H$_{11}$NO$_{2}$
,,215,,,Diisopropyl methylphosphonate,C$_{7}$H$_{17}$O$_{3}$P
,,,,,Bromide,Br$^{-}$
,,,,,Balofloxacin,C$_{20}$H$_{24}$FN$_{3}$O$_{4}$
,,,,107.06,Ammonium lactate,C$_{3}$H$_{9}$O$_{3}$N
,,261-262,,,Cedrene,C$_{15}$H$_{24}$
,,,not soluble,,Tetracosane,C$_{24}$H$_{50}$
677,3.16,1023,soluble,126.751,Iron(II) chloride,FeCl$_{2}$
238,,760.2,25.07,,Salvinorin A,
22-24,,360,organic solvents,310.28,Triphenyl phosphite,C$_{18}$H$_{15}$O$_{3}$P
,,,,,Benserazide,C$_{10}$H$_{15}$N$_{3}$O$_{5}$
,,,0.003% (25$^{\circ}$C),146.06,Sulfur hexafluoride,SF$_{6}$
,,,,440.582,Propidium monoazide,C$_{27}$H$_{32}$N$^{2+}_{6}$
891,2.43,,112,138.205,Potassium carbonate,K$_{2}$CO$_{3}$
,,,Slightly soluble,,Copper ibuprofenate,C$_{52}$H$_{34}$O$_{8}$Cu$_{2}$
,,,,,Altanserin,C$_{22}$H$_{22}$FN$_{3}$O$_{2}$S
50,,136,,,Phenacyl bromide,C$_{8}$H$_{7}$BrO
172-174,,254.8,,,TCPy,C$_{5}$H$_{2}$Cl$_{3}$NO
189.9,,,2100,,Saflufenacil,C$_{17}$H$_{17}$ClF$_{4}$N$_{4}$O$_{5}$S
,,,,,Nifurtimox,C$_{10}$H$_{13}$N$_{3}$O$_{5}$S
,,,,,Etazolate,C$_{14}$H$_{19}$N$_{5}$O$_{2}$
,,207.1,,,Multistriatin,C$_{10}$H$_{18}$O$_{2}$
,,,,400.64,Alfacalcidol,C$_{27}$H$_{44}$O$_{2}$
,,,,,TP-003,C$_{23}$H$_{16}$F$_{3}$N$_{3}$O
190,,,,,Troparil,C$_{16}$H$_{21}$NO$_{2}$
,,,,313.31,Isoxathion,C$_{13}$H$_{16}$NO$_{4}$PS
,,,,,SB-206553,C$_{17}$H$_{16}$N$_{4}$O
,,,,343.357,Eletefine,C$_{19}$H$_{19}$NO$_{5}$
-87,,114,,,Dimethyldiethoxysilane,C$_{6}$H$_{16}$O$_{2}$Si
,,,,462.36,Luteolin-7-O-glucuronide,C$_{21}$H$_{18}$O$_{12}$
11,1.102,247,,,Phenoxyethanol,C$_{8}$H$_{10}$O$_{2}$
,,,,,Guanidinium thiocyanate,C$_{2}$H$_{6}$N$_{4}$S
37,,169,,,Cyclopentadecanolide,C$_{15}$H$_{28}$O$_{2}$
,,,,,X-gal,C$_{14}$H$_{15}$BrClNO$_{6}$
,,,,406.38,Astringin,C$_{20}$H$_{22}$O$_{9}$
,,,,,ChEBI,scopeChemicalEntitiesofBiologicalInterest
,,83,insoluble,,Trichloroacetonitrile,C$_{2}$Cl$_{3}$N
-90,,50-53,,,Cyclopropanone,C$_{3}$H$_{4}$O
,,,,,Ethenzamide,C$_{9}$H$_{11}$NO$_{2}$
,,,,,Neramexane,C$_{11}$H$_{23}$N
-86,0.805,79.64,27.5,,Butanone,C$_{4}$H$_{8}$O
,,,,,N-(S)-Fenchyl-1-(2-morpholinoethyl)-7-methoxyindole-3-carboxamide,C$_{26}$H$_{37}$N$_{3}$O$_{3}$
,,,,,Remimazolam,C$_{21}$H$_{19}$BrN$_{4}$O$_{2}$
244.73,,,sparingly soluble (8.1 x 10$^{-4}$ g L$^{-1}$),,Diamantane,C$_{14}$H$_{20}$
,,,,,Zalcitabine,C$_{9}$H$_{13}$N$_{3}$O$_{3}$
,,,,,Rociverine,C$_{20}$H$_{37}$NO$_{3}$
,,,,,Pimozide,C$_{28}$H$_{29}$F$_{2}$N$_{3}$O
,,,,633,Mebolazine,C$_{42}$H$_{68}$N$_{2}$O$_{2}$
,,,,,Nitrosylazide,N$_{4}$O
,,,,193.922,Caesium bicarbonate,CsHCO$_{3}$
,,,,,Macbecin,C$_{30}$H$_{44}$N$_{2}$O$_{8}$
121,,,,478.7,Carpaine,C$_{28}$H$_{50}$N$_{2}$O$_{4}$
101.5,,135,,,Pentachlorofluoroethane,C$_{2}$FCl$_{5}$
,,,,,Neticonazole,C$_{17}$H$_{22}$N$_{2}$OS
,,,,,Benzopyran,C$_{9}$H$_{8}$O
,,,,159.16,Sulfur trioxide pyridine complex,C$_{5}$H$_{5}$NSO$_{3}$
,,,,,Ganoderic acid,C$_{30}$H$_{44}$O$_{7}$
,,,,,ACES (buffer),C$_{4}$H$_{10}$N$_{2}$O$_{4}$S
110,,,Soluble,154.12,Patulin,C$_{7}$H$_{6}$O$_{4}$
,,,,,Fenpentadiol,C$_{12}$H$_{17}$ClO$_{2}$
,,,,,Sulfadoxine,C$_{12}$H$_{14}$N$_{4}$O$_{4}$S
,,,,,Vernakalant,C$_{20}$H$_{31}$NO$_{4}$
,,,Insoluble,215.09,Terbium silicide,TbSi$_{2}$
,,,,401.3227,Krogmann's salt,K$_{2}$Pt(CN)$_{4}$Br$_{0.3}$
,,,,,Ionomycin,C$_{41}$H$_{72}$O$_{9}$
,,,,,Nonoxynol-9,C$_{33}$H$_{60}$O$_{10}$
,,,,340.282,Aesculin,C$_{15}$H$_{16}$O$_{9}$
,~ 3,,negligible,,Tellurous acid,H$_{2}$TeO$_{3}$
154,1.75,,insoluble,389.98,Dimanganese decacarbonyl,C$_{10}$O$_{10}$Mn$_{2}$
,,,,,UB-165,C$_{13}$H$_{15}$ClN$_{2}$
,,,,,Difluprednate,C$_{27}$H$_{34}$F$_{2}$O$_{7}$
-35,1.67,125,Reacts,169.4,Thiophosphoryl chloride,Cl$_{3}$PS
780,,,,,CuSil,Ag(71-73%)Cu(27-29%)
,,,,,Ethylmorphine,C$_{19}$H$_{23}$NO$_{3}$
40.5,1.07,181.7,8.3,,Phenol,C$_{6}$H$_{6}$O
,,,,,Nifuroxazide,C$_{12}$H$_{9}$N$_{3}$O$_{5}$
68,1.61,,"insoluble in water, soluble in diethyl ether and hot ethanol",,Trinitroanisole,C$_{7}$H$_{5}$N$_{3}$O$_{7}$
256-257,,,,,Betulin,C$_{30}$H$_{50}$O$_{2}$
,,,,,Torulene,C$_{40}$H$_{54}$
,,,,145.494,Digallane,Ga$_{2}$H$_{6}$
,,,,,Pinazepam,C$_{18}$H$_{13}$ClN$_{2}$O
,,,,,Pigment Red 179,C$_{26}$H$_{14}$N$_{2}$O$_{4}$
90,,210,insoluble,220.057,Chromium hexacarbonyl,C$_{6}$CrO$_{6}$
151,1.27,,,,Chloroxuron,C$_{15}$H$_{15}$ClN$_{2}$O$_{2}$
